,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
174,Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21
175,Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58
176,Black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28
177,Cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28
179,Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,34580.0,101.5,1.18
180,Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,103542.4,303.92,2.03
181,Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,2964.9,856694.8,2514.59,1.06
182,Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,2964.9,118560.0,348.0,0.27
183,Ragi,1998,Kharif     ,Goa,2500.0,2476,2964.9,247000.0,725.0,0.99
184,Rice,1998,Kharif     ,Goa,41000.0,50000,2964.9,4050800.0,11890.0,2.54
185,Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04
186,Sugarcane,1998,Whole Year ,Goa,1320.0,50000,2964.9,130416.0,382.8,48.48
188,Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,50000,1260.8,46969124.8,137864.84,0.400833333
189,Bajra,1998,Kharif     ,Karnataka,415816.0,50000,1260.8,41082620.8,120586.64,0.601764706
190,Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.19
191,Bajra,1998,Summer     ,Karnataka,846.0,498,1260.8,83584.8,245.34,0.59
192,Black pepper,1998,Whole Year ,Karnataka,4387.0,10342,1260.8,433435.6,1272.23,2.238
193,Cardamom,1998,Whole Year ,Karnataka,20218.0,1153,1260.8,1997538.4,5863.22,0.06
194,Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.831818182
196,Coriander,1998,Whole Year ,Karnataka,17935.0,2982,1260.8,1771978.0,5201.15,0.118
198,Dry chillies,1998,Whole Year ,Karnataka,170319.0,50000,1260.8,16827517.2,49392.51,1.123703704
199,Garlic,1998,Whole Year ,Karnataka,3574.0,3034,1260.8,353111.2,1036.46,1.459411765
200,Ginger,1998,Kharif     ,Karnataka,3896.0,50000,1260.8,384924.8,1129.84,12.75944444
201,Gram,1998,Rabi       ,Karnataka,355326.0,50000,1260.8,35106208.8,103044.54,0.573478261
203,Groundnut,1998,Rabi       ,Karnataka,217445.0,50000,1260.8,21483566.0,63059.05,1.3052
204,Horse-gram,1998,Kharif     ,Karnataka,189486.0,50000,1260.8,18721216.8,54950.94,0.504615385
205,Horse-gram,1998,Rabi       ,Karnataka,134779.0,50000,1260.8,13316165.2,39085.91,0.4492
208,Jowar,1998,Summer     ,Karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461333333
209,Linseed,1998,Rabi       ,Karnataka,19806.0,6441,1260.8,1956832.8,5743.74,0.315
211,Maize,1998,Rabi       ,Karnataka,49922.0,50000,1260.8,4932293.6,14477.38,1.97952381
212,Maize,1998,Summer     ,Karnataka,11974.0,27080,1260.8,1183031.2,3472.46,2.241904762
213,Moong(Green Gram),1998,Kharif     ,Karnataka,311720.0,50000,1260.8,30797936.0,90398.8,0.180769231
214,Moong(Green Gram),1998,Rabi       ,Karnataka,15627.0,7005,1260.8,1543947.6,4531.83,0.438823529
215,Niger seed,1998,Kharif     ,Karnataka,41853.0,8104,1260.8,4135076.4,12137.37,0.214782609
217,Onion,1998,Rabi       ,Karnataka,8882.0,50000,1260.8,877541.6,2575.78,8.936315789
218,Onion,1998,Summer     ,Karnataka,4797.0,50000,1260.8,473943.6,1391.13,11.86631579
219,Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730.0,15872,1260.8,170924.0,501.7,9.265882353
220,Peas & beans (Pulses),1998,Rabi       ,Karnataka,494.0,4882,1260.8,48807.2,143.26,8.948181818
221,Peas & beans (Pulses),1998,Summer     ,Karnataka,1583.0,13707,1260.8,156400.4,459.07,7.827
223,Potato,1998,Rabi       ,Karnataka,4173.0,50000,1260.8,412292.4,1210.17,18.90714286
224,Potato,1998,Summer     ,Karnataka,1137.0,19387,1260.8,112335.6,329.73,17.6
225,Potato,1998,Whole Year ,Karnataka,268.0,3910,1260.8,26478.4,77.72,14.59
227,Ragi,1998,Rabi       ,Karnataka,33833.0,45301,1260.8,3342700.4,9811.57,1.361
228,Ragi,1998,Summer     ,Karnataka,10673.0,24008,1260.8,1054492.4,3095.17,2.239230769
229,Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673.0,1790,1260.8,659292.4,1935.17,0.210625
231,Rice,1998,Rabi       ,Karnataka,51782.0,50000,1260.8,5116061.6,15016.78,2.054285714
233,Safflower,1998,Rabi       ,Karnataka,97487.0,50000,1260.8,9631715.6,28271.23,0.616428571
234,Sesamum,1998,Kharif     ,Karnataka,115250.0,46673,1260.8,11386700.0,33422.5,0.417307692
235,Soyabean,1998,Kharif     ,Karnataka,65309.0,50000,1260.8,6452529.2,18939.61,1.060588235
236,Sunflower,1998,Kharif     ,Karnataka,430676.0,50000,1260.8,42550788.8,124896.04,0.382608696
237,Sunflower,1998,Rabi       ,Karnataka,359514.0,50000,1260.8,35519983.2,104259.06,0.390416667
238,Sunflower,1998,Summer     ,Karnataka,43156.0,24211,1260.8,4263812.8,12515.24,0.595217391
239,Turmeric,1998,Whole Year ,Karnataka,5007.0,25386,1260.8,494691.6,1452.03,4.682380952
240,Wheat,1998,Rabi       ,Karnataka,268981.0,50000,1260.8,26575322.8,78004.49,0.848823529
